Month,Week,Day,Session,Cat. Day,Type,Duration (min),Intensity %,Blocks,Block 1,Block 2,Block 3,Block 4
5,4,2,intensity,427,max_aerobic_power,32,85,1,8x90s/90s @0.85-1.05 w:r=1,,,
5,4,3,intensity,53,interval,28,95,1,10x60s/120s @0.8-1.1 w:r=0.5,,,
6,1,1,time_trial,101,time_trial,10,0,1,1x600s @max_effort,,,
6,1,2,intensity,57,interval,28,95,1,8x180s/60s @0.8-1.1 w:r=3,,,
6,1,3,intensity,385,ascending_devour,30,90,1,5x60s/60s @0.8-1 [increasing] [pace:increasing] w:r=1 +60s/rd,,,
6,2,1,steady,446,infinity,45,85,3,3x120s/120s @0.85-0.95 [increasing] [pace:increasing] w:r=1 +120s/rd rest10s/rd,6x90s/90s @0.85-1.15 w:r=1 rest-15s/rd,1x180s @1.2-1.2,
6,2,2,intensity,64,interval,28,95,1,6x120s/60s @0.8-1.1 w:r=2,,,
6,2,3,intensity,405,descending_devour,32,90,1,5x120s/120s @0.9-0.9 w:r=1 rest-30s/rd,,,
6,3,1,steady,74,polarized,35,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
6,3,2,intensity,69,interval,28,95,1,4x180s/120s @0.8-1.1 w:r=1.5,,,
6,3,3,intensity,75,interval,28,95,1,6x60s/120s @0.8-1.1 w:r=0.5,,,
6,4,1,steady,449,infinity,45,85,3,3x60s/60s @0.85-0.95 [increasing] [pace:increasing] w:r=1 +120s/rd,4x180s/120s @0.85-1.15 w:r=1.5 rest-30s/rd,1x240s @1.2-1.2,
6,4,2,intensity,389,ascending_devour,32,90,1,4x120s/120s @0.75-0.975 [increasing] [pace:increasing] w:r=1 +120s/rd,,,
6,4,3,intensity,79,interval,28,95,1,5x180s/60s @0.8-1.1 w:r=3,,,
7,1,1,time_trial,121,time_trial,10,0,1,1x600s @max_effort,,,
7,1,2,intensity,385,ascending_devour,30,90,1,5x60s/60s @0.8-1 [increasing] [pace:increasing] w:r=1 +60s/rd,,,
7,1,3,intensity,84,interval,32,95,1,8x120s/60s @0.8-1.1 w:r=2,,,
7,2,1,steady,452,infinity,45,85,3,4x60s/60s @0.85-1 [increasing] [pace:increasing] w:r=1 +60s/rd,2x120s/120s @0.85-1.15 w:r=1 rest-60s/rd,1x300s @1.2-1.2,
7,2,2,intensity,389,ascending_devour,32,90,1,4x120s/120s @0.75-0.975 [increasing] [pace:increasing] w:r=1 +120s/rd,,,
7,2,3,intensity,409,descending_devour,34,90,1,4x180s/180s @0.9-0.9 w:r=1 +180s/rd rest-60s/rd,,,
7,3,1,steady,77,polarized,35,70,1,1x1800s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
7,3,2,intensity,385,ascending_devour,30,90,1,5x60s/60s @0.8-1 [increasing] [pace:increasing] w:r=1 +60s/rd,,,
7,3,3,intensity,389,ascending_devour,32,90,1,4x120s/120s @0.75-0.975 [increasing] [pace:increasing] w:r=1 +120s/rd,,,
7,4,1,steady,455,infinity,45,85,3,6x30s/30s @0.85-1.1 [increasing] [pace:increasing] w:r=1 +30s/rd,3x90s/90s @0.85-1.15 w:r=1 rest-30s/rd,1x239s @1.2-1.2,
7,4,2,intensity,89,interval,32,95,1,5x180s/120s @0.8-1.1 w:r=1.5,,,
7,4,3,intensity,385,ascending_devour,30,90,1,5x60s/60s @0.8-1 [increasing] [pace:increasing] w:r=1 +60s/rd,,,
8,1,1,time_trial,141,time_trial,10,0,1,1x600s @max_effort,,,
8,1,2,intensity,405,descending_devour,32,90,1,5x120s/120s @0.9-0.9 w:r=1 rest-30s/rd,,,
8,1,3,intensity,389,ascending_devour,32,90,1,4x120s/120s @0.75-0.975 [increasing] [pace:increasing] w:r=1 +120s/rd,,,
8,2,1,steady,456,infinity,45,85,3,4x120s/60s @0.85-1 [increasing] [pace:increasing] w:r=2 +60s/rd,4x180s/120s @0.85-1.15 w:r=1.5 rest-30s/rd,1x180s @1.2-1.2,
8,2,2,intensity,409,descending_devour,34,90,1,4x180s/180s @0.9-0.9 w:r=1 +180s/rd rest-60s/rd,,,
8,2,3,intensity,122,rocket_races_a,,,1,6x60s/120s @0.95-1.1 w:r=0.5,,,
8,3,1,steady,80,polarized,35,70,1,1x1980s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
8,3,2,intensity,405,descending_devour,32,90,1,5x120s/120s @0.9-0.9 w:r=1 rest-30s/rd,,,
8,3,3,intensity,409,descending_devour,34,90,1,4x180s/180s @0.9-0.9 w:r=1 +180s/rd rest-60s/rd,,,
8,4,1,steady,459,infinity,45,85,3,4x30s/30s @0.85-1 [increasing] [pace:increasing] w:r=1 +60s/rd,3x180s/180s @0.85-1.15 w:r=1 rest-60s/rd,1x240s @1.2-1.2,
8,4,2,intensity,385,ascending_devour,30,90,1,5x60s/60s @0.8-1 [increasing] [pace:increasing] w:r=1 +60s/rd,,,
8,4,3,intensity,405,descending_devour,32,90,1,5x120s/120s @0.9-0.9 w:r=1 rest-30s/rd,,,
9,1,1,time_trial,161,time_trial,10,0,1,1x600s @max_effort,,,
9,1,2,intensity,127,rocket_races_a,,,1,8x30s/90s @0.95-1.1 w:r=0.33,,,
9,1,3,intensity,409,descending_devour,34,90,1,4x180s/180s @0.9-0.9 w:r=1 +180s/rd rest-60s/rd,,,
9,2,1,steady,462,infinity,45,85,3,3x120s/120s @0.85-0.95 [increasing] [pace:increasing] w:r=1 +120s/rd,6x90s/90s @0.85-1.15 w:r=1 rest-15s/rd,1x300s @1.2-1.2,
9,2,2,intensity,131,rocket_races_a,,,1,4x90s/180s @0.95-1.1 w:r=0.5,,,
9,2,3,intensity,125,rocket_races_b,,,1,6x60s/60s @0.95-1.1 w:r=1,,,
9,3,1,steady,82,polarized,42,70,1,1x1800s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
9,3,2,intensity,137,rocket_races_a,,,1,4x60s/180s @0.95-1.1 w:r=0.33,,,
9,3,3,intensity,142,rocket_races_a,,,1,8x60s/120s @0.95-1.1 w:r=0.5,,,
