day|type|month|dur|int%|structure
166|polarized|9|56|70|1x2520/-
167|rocket_races_a|?|?|?|12x30/90
168|threshold|9|18|90|1x720/-
169|interval|9|36|95|6x180/120
170|rocket_races_b|?|?|?|12x30/30
171|rocket_races_a|?|?|?|6x90/180
172|polarized|9|56|70|1x2160/-
173|threshold|9|18|90|1x900/-
174|rocket_races_b|?|?|?|6x90/90
175|interval|9|36|95|10x60/120
176|polarized|9|56|70|1x2340/-
177|rocket_races_a|?|?|?|8x60/180
178|threshold|9|18|90|1x1080/-
179|interval|9|36|95|8x180/60
180|rocket_races_b|?|?|?|8x60/60
181|time_trial|10|10|0|1x600/-
182|flux|10|28|70|1x1440/-
183|anaerobic|10|28|0|6x30/150
184|polarized|10|49|70|1x2340/-
185|flux|10|28|70|1x1620/-
186|interval|10|36|95|6x30/90
187|flux|10|28|70|1x1800/-
188|endurance|10|35|70|1x1980/-
189|anaerobic|10|28|0|8x20/100
190|flux|10|28|70|1x1980/-
191|flux|10|30|70|1x1800/-
192|anaerobic|10|28|0|6x30/150
193|polarized|10|49|70|1x2700/-
194|flux|10|30|70|1x1980/-
195|ascending|10|18|110|10x60/60
196|interval|10|36|95|4x120/180
197|flux|10|30|70|1x2160/-
198|endurance|10|35|70|1x2160/-
199|anaerobic|10|28|0|4x45/225
200|flux|10|30|70|1x2340/-
201|time_trial|11|10|0|1x600/-
202|flux|11|32|70|1x2160/-
203|anaerobic|11|32|0|8x30/150
204|polarized|11|56|70|1x2160/-
205|flux|11|32|70|1x2340/-
206|interval|11|36|95|8x30/90
207|flux|11|32|70|1x2520/-
208|endurance|11|40|70|1x2160/-
209|anaerobic|11|32|0|10x20/100
210|flux|11|32|70|1x2700/-
211|flux|11|36|70|1x1440/-
212|anaerobic|11|32|0|8x30/150
213|polarized|11|56|70|1x2880/-
214|flux|11|36|70|1x1620/-
215|ascending|11|21|110|10x30/30
216|interval|11|36|95|5x120/180
217|flux|11|36|70|1x1800/-
218|endurance|11|40|70|1x2340/-
219|anaerobic|11|32|0|6x45/225
220|flux|11|36|70|1x1980/-
221|time_trial|12|10|0|1x600/-
222|flux|12|40|70|1x1800/-
223|anaerobic|12|36|0|8x30/150
224|polarized|12|60|70|1x1980/-
225|flux|12|40|70|1x1980/-
226|interval|12|36|95|10x30/90
227|flux|12|40|70|1x2160/-
228|endurance|12|45|70|1x2340/-
229|anaerobic|12|36|0|10x20/100
230|flux|12|40|70|1x2340/-
231|flux|12|42|70|1x2160/-
232|anaerobic|12|36|0|8x30/150
233|polarized|12|60|70|1x3060/-
234|flux|12|42|70|1x2340/-
235|ascending|12|24|110|10x90/90
236|interval|12|36|95|6x120/180
237|flux|12|42|70|1x2520/-
238|endurance|12|45|70|1x2520/-
239|anaerobic|12|36|0|6x45/225
240|flux|12|42|70|1x2700/-
241|time_trial|13|10|0|1x600/-
242|hybrid_anaerobic|?|?|?|3x60/120
243|polarized|13|56|70|1x2160/-
244|flux|13|40|70|1x1440/-
245|hybrid_aerobic|?|?|?|3x120/60
246|flux|13|40|70|1x1620/-
247|hybrid_anaerobic|?|?|?|6x15/45
248|endurance|13|40|70|1x2160/-
249|interval|13|36|95|6x120/60
250|hybrid_aerobic|?|?|?|6x45/15
251|hybrid_anaerobic|?|?|?|4x30/90
252|interval|13|36|95|8x60/120
253|polarized|13|56|70|1x2520/-
254|hybrid_aerobic|?|?|?|4x90/30
255|flux|13|40|70|1x1800/-
256|flux|13|42|70|1x1980/-
257|hybrid_anaerobic|?|?|?|3x60/120
258|endurance|13|40|70|1x2340/-
259|interval|13|36|95|4x180/60
260|hybrid_aerobic|?|?|?|3x120/60
261|time_trial|14|10|0|1x600/-
262|hybrid_anaerobic|?|?|?|4x60/120
263|polarized|14|60|70|1x1980/-
264|flux|14|42|70|1x1800/-
265|hybrid_aerobic|?|?|?|4x120/60
266|flux|14|42|70|1x1980/-
267|hybrid_anaerobic|?|?|?|8x15/45
268|endurance|14|45|70|1x2340/-
269|interval|14|36|95|7x120/60
270|hybrid_aerobic|?|?|?|8x45/15
271|hybrid_anaerobic|?|?|?|5x30/90
272|interval|14|36|95|7x60/120
273|polarized|14|60|70|1x2700/-
274|hybrid_aerobic|?|?|?|5x90/30
275|flux|14|42|70|1x2160/-
276|flux|14|42|70|1x2340/-
277|hybrid_anaerobic|?|?|?|4x60/120
278|endurance|14|45|70|1x2520/-
279|interval|14|36|95|5x180/60
280|hybrid_aerobic|?|?|?|4x120/60
281|time_trial|15|10|0|1x600/-
282|hybrid_anaerobic|?|?|?|5x60/120
283|polarized|15|60|70|1x1800/-
284|flux|15|42|70|1x2160/-
285|hybrid_aerobic|?|?|?|5x120/60
286|flux|15|42|70|1x2340/-
287|hybrid_anaerobic|?|?|?|10x15/45
288|endurance|15|50|70|1x2520/-
289|interval|15|36|95|8x120/60
290|hybrid_aerobic|?|?|?|10x45/15
291|hybrid_anaerobic|?|?|?|6x30/90
292|interval|15|36|95|6x60/120
293|polarized|15|60|70|1x2880/-
294|hybrid_aerobic|?|?|?|6x90/30
295|flux|15|42|70|1x2520/-
296|flux|15|42|70|1x2700/-
297|hybrid_anaerobic|?|?|?|5x60/120
298|endurance|15|50|70|1x2700/-
299|interval|15|36|95|6x180/60
300|hybrid_aerobic|?|?|?|5x120/60
301|time_trial|16|10|0|1x600/-
302|flux_stages|16|30|70|1x1440/-
303|polarized|16|56|70|1x2340/-
304|anaerobic|16|36|0|6x30/150
305|flux_stages|16|30|70|1x1620/-
306|anaerobic|16|36|0|8x20/100
307|flux_stages|16|30|70|1x1800/-
308|endurance|16|45|70|1x2700/-
309|max_aerobic_power|16|36|95|4x240/240
310|flux_stages|16|30|70|1x1980/-
311|flux_stages|16|32|70|1x1800/-
312|anaerobic|16|36|0|6x30/150
313|polarized|16|56|70|1x2700/-
314|flux_stages|16|32|70|1x1980/-
315|interval|16|36|95|18x90/30
316|anaerobic|16|36|0|4x45/225
317|flux_stages|16|32|70|1x2160/-
318|endurance|16|45|70|1x2700/-
319|max_aerobic_power|16|36|95|8x90/90
320|flux_stages|16|32|70|1x2340/-
321|time_trial|17|10|0|1x600/-
322|flux_stages|17|36|70|1x2160/-
323|polarized|17|60|70|1x2160/-
324|anaerobic|17|36|0|8x30/150
325|flux_stages|17|36|70|1x2340/-
326|anaerobic|17|36|0|10x20/100
327|flux_stages|17|36|70|1x2520/-
328|endurance|17|50|70|1x3000/-
329|max_aerobic_power|17|36|95|4x240/240
330|flux_stages|17|36|70|1x2700/-
331|flux_stages|17|38|70|1x1440/-
332|anaerobic|17|36|0|8x30/150
333|polarized|17|60|70|1x2880/-
334|flux_stages|17|38|70|1x1620/-
335|interval|17|36|95|20x75/25
336|anaerobic|17|36|0|6x45/225
337|flux_stages|17|38|70|1x1800/-
338|endurance|17|50|70|1x3000/-
339|max_aerobic_power|17|36|95|10x90/90
340|flux_stages|17|38|70|1x1980/-
341|time_trial|18|10|0|1x600/-
342|flux_stages|18|40|70|1x1800/-
343|polarized|18|60|70|1x1980/-
344|anaerobic|18|36|0|8x30/150
345|flux_stages|18|40|70|1x1980/-
346|anaerobic|18|36|0|10x20/100
347|flux_stages|18|40|70|1x2160/-
348|endurance|18|55|70|1x3300/-
349|max_aerobic_power|18|36|95|4x240/240
350|flux_stages|18|40|70|1x2340/-
351|flux_stages|18|42|70|1x2160/-
352|anaerobic|18|36|0|8x30/150
353|polarized|18|60|70|1x3060/-
354|flux_stages|18|42|70|1x2340/-
355|interval|18|36|95|20x80/25
356|anaerobic|18|36|0|6x45/225
357|flux_stages|18|42|70|1x2520/-
358|endurance|18|55|70|1x3300/-
359|max_aerobic_power|18|36|95|12x90/90
360|flux_stages|18|42|70|1x2700/-
361|time_trial|19|10|0|1x600/-
362|devour|19|32|85|6x60/60
363|polarized|19|56|70|1x2160/-
364|flux|19|30|70|1x1440/-
365|devour|19|34|85|4x120/120
366|devour|19|36|85|8x30/30
367|endurance|19|45|70|1x2700/-
368|flux|19|32|70|1x1620/-
369|devour|19|38|85|5x90/90
370|interval|19|36|85|6x30/90
371|flux|19|34|70|1x1800/-
372|devour|19|40|85|5x60/60
373|polarized|19|58|70|1x2520/-
374|ascending|19|24|90|10x60/60
375|devour|19|42|85|4x120/120
376|devour|19|42|85|8x30/30
377|endurance|19|50|70|1x3000/-
378|flux|19|36|70|1x1980/-
379|devour|19|42|85|5x90/90
380|interval|19|38|85|4x120/180
381|time_trial|20|10|0|1x600/-
382|devour|20|38|85|5x60/60
383|polarized|20|60|70|1x1980/-
384|flux|20|38|70|1x1800/-
385|ascending_devour|20|30|90|5x60/60
386|devour|20|40|85|4x120/120
387|endurance|20|50|70|1x3000/-
388|flux|20|40|70|1x1980/-
389|ascending_devour|20|32|90|4x120/120
390|interval|20|40|85|8x30/90
391|flux|20|42|70|1x2160/-
392|devour|20|42|85|8x30/30
393|polarized|20|60|70|1x2700/-
394|ascending|20|28|90|10x30/30
395|ascending_devour|20|34|90|8x30/30
396|devour|20|42|85|5x90/90
397|endurance|20|55|70|1x3300/-
398|flux|20|42|70|1x2340/-
399|ascending_devour|20|36|90|5x90/90
400|interval|20|42|85|5x120/180
401|time_trial|21|10|0|1x600/-
402|devour|21|40|85|5x60/60
403|polarized|21|60|70|1x1800/-
404|flux|21|42|70|1x2160/-
405|descending_devour|21|32|90|5x120/120
406|devour|21|42|85|4x120/120
407|endurance|21|55|70|1x3300/-
408|flux|21|42|70|1x2340/-
409|descending_devour|21|34|90|4x180/180
410|interval|21|42|85|10x30/90
411|flux|21|42|70|1x2520/-
412|devour|21|42|85|8x30/30
413|polarized|21|60|70|1x2880/-
414|ascending|21|30|90|10x90/90
415|descending_devour|21|36|90|6x150/150
416|devour|21|42|85|5x90/90
417|endurance|21|60|70|1x3600/-
418|flux|21|42|70|1x2700/-
419|descending_devour|21|36|90|5x120/60
420|interval|21|42|85|6x120/180
421|time_trial|22|10|0|1x600/-
422|infinity|22|42|85|4x60/60
423|max_aerobic_power|22|30|85|4x240/240
424|flux|22|36|70|1x1440/-
425|infinity|22|44|85|6x30/30
426|infinity|22|45|85|4x120/60
427|max_aerobic_power|22|32|85|8x90/90
428|flux|22|38|70|1x1620/-
429|infinity|22|45|85|4x30/30
430|polarized|22|56|70|1x2340/-
431|endurance|22|45|70|1x2700/-
432|infinity|22|45|85|3x120/120
433|max_aerobic_power|22|34|85|5x180/180
434|flux|22|40|70|1x1800/-
435|infinity|22|45|85|3x60/60
436|infinity|22|45|85|4x60/60
437|max_aerobic_power|22|36|85|18x30/30
438|flux|22|42|70|1x1980/-
439|infinity|22|45|85|60x30/30
440|polarized|22|58|70|1x2700/-
441|time_trial|23|10|0|1x600/-
442|infinity|23|45|85|4x120/60
443|max_aerobic_power|23|36|85|4x240/240
444|flux|23|42|70|1x1800/-
445|infinity|23|45|85|4x30/30
446|infinity|23|45|85|3x120/120
447|max_aerobic_power|23|36|85|10x90/90
448|flux|23|42|70|1x1980/-
449|infinity|23|45|85|3x60/60
450|polarized|23|60|70|1x2160/-
451|endurance|23|50|70|1x3000/-
452|infinity|23|45|85|4x60/60
453|max_aerobic_power|23|36|85|3x300/300
454|flux|23|42|70|1x2160/-
455|infinity|23|45|85|6x30/30
456|infinity|23|45|85|4x120/60
457|max_aerobic_power|23|36|85|21x30/30
458|flux|23|42|70|1x2340/-
459|infinity|23|45|85|4x30/30
460|polarized|23|60|70|1x2880/-
461|time_trial|24|10|0|1x600/-
462|infinity|24|45|85|3x120/120
463|max_aerobic_power|24|36|85|4x240/240
464|flux|24|42|70|1x2160/-
465|infinity|24|45|85|3x60/60
466|infinity|24|45|85|4x60/60
467|max_aerobic_power|24|36|85|12x90/90
468|flux|24|42|70|1x2340/-
469|infinity|24|45|85|6x30/30
470|polarized|24|60|70|1x1980/-
471|endurance|24|55|70|1x3300/-
472|infinity|24|45|85|4x120/60
473|max_aerobic_power|24|36|85|3x360/360
474|flux|24|42|70|1x2520/-
475|infinity|24|45|85|4x30/30
476|infinity|24|45|85|3x120/120
477|max_aerobic_power|24|36|85|24x30/30
478|flux|24|42|70|1x2700/-
479|infinity|24|45|85|35x60/60
480|polarized|24|60|70|1x3060/-
481|time_trial|25|10|0|1x600/-
482|towers|25|36|75|3x120/-
483|endurance|25|45|70|1x2700/-
484|interval|25|32|85|6x120/60
485|towers|25|37|75|4x90/-
486|towers|25|38|75|4x120/-
487|max_aerobic_power|25|30|85|3x300/300
488|polarized|25|56|70|1x2160/-
489|towers|25|39|75|5x60/-
490|interval|25|34|85|4x180/120
491|interval|25|36|85|6x60/120
492|towers|25|40|75|3x120/-
493|endurance|25|50|70|1x3000/-
494|ascending|25|24|90|10x60/60
495|towers|25|40|75|4x90/-
496|towers|25|40|75|4x120/-
497|max_aerobic_power|25|32|85|21x30/30
498|polarized|25|58|70|1x2520/-
499|towers|25|40|75|5x60/-
500|interval|25|38|85|5x180/60
501|time_trial|26|10|0|1x600/-
502|towers|26|40|75|3x120/-
503|endurance|26|50|70|1x3000/-
504|interval|26|40|85|8x120/60
505|towers|26|40|75|4x90/-
506|towers|26|40|75|4x120/-
507|max_aerobic_power|26|34|85|4x240/240
